title,
Jobs: by PI,
parameters,
,
start,end
2019-01-01,2019-12-31
---------,
PI,Number of Jobs Ended
achilli,1
acl,1
adhar,1
adhenry,1
agalvao,1
agaspar,1
ajrosengren,1
akielar,1
amainzer,1
amcewen,1
anhughes,1
apil,1
aspinwal,1
astrorv,1
atlorenzo,1
baker,1
barnesca,1
bashgroup,1
behrangi,1
bethm,1
bilgin,1
birds,1
bosschen,1
bparent,1
brant,1
buelljannuzi,1
cederburg,1
chamilton,1
chertkov,1
chichengz,1
chiu,1
cholik,1
chrisweber,1
chunly,1
cibs,1
cihantunc,1
ckpark,1
cscheid,1
curtisthorne,1
davidjpmoore,1
dcbrown,1
decelles,1
dewsants,1
dglicken,1
dmarrone,1
dontsova,1
dornhaus,1
dpsaltis,1
dpscheitrum,1
dpstark,1
ducea,1
ece677f18,1
echriste,1
ecol346,1
edwardjbedrick,1
egami,1
eis_nielsen,1
eknudsen,1
emash,1
erdmann,1
ferng,1
ffrasche,1
fluids1,1
francescavitali,1
galbrait,1
ganguly,1
gea,1
geodesy,1
geraldj,1
gowrisan,1
goyalr,1
guangyao,1
guven,1
gwas,1
haldar,1
hcup,1
heidorn,1
holmgren,1
honghua,1
hucc,1
hz,1
icepig,1
jandrewshanna,1
jekan,1
jenmc,1
jesst,1
jiahu,1
jkidd,1
johannr,1
johnson6,1
jqcheng,1
jrmales,1
jshockey,1
judee,1
judith,1
jvm2,1
jwjacobs,1
kdlugosch,1
kece,1
kellingson,1
